beltName,kata,defenses/drills,kobudo,strikes,blocks,kicks,stances,breaking,run,pushups/situps,kumite,time,tournaments,additional requirements,evaluation time
Yellow Stripe,kihon 1,Breathing Easy|Slapstick,,Horizontal Punch|Palm Heel|Inside Hammerfist|Inward Elbow,Downward|Shunt|Inward|Outward,Knee|Front Snap|Front Thrust|Front Leg Round,Forward|Fighting,1,,5,,,,,30 minutes
Yellow,Kihon 2,Stalled Sword|Mace of Aggression,Kali Shin-Kata 1,Outside Hammerfist|Outside Chop|Inside Chop|Outward Elbow,Outside Chop|Inside Chop|Upward,Side|Step Side|Rear Leg Round|Back,Kima|Cat,1 strike,1/4 mile,10,Control,,,,45 minutes
Gold,Kihon 3,Blind Freedom|Broken Wing,Kali Shin-Kata 2,Inside Ridgehand|Outside Ridgehand|Rear Elbow|Reverse Punch,Upward Chop|Downward Chop|Shuto,Question Mark|Turn|Low-High Side|Low-High Round,Back,1 kick,1/2 mile,20,Courage,,,,2 hours
Orange,Kihon 4,First Flow,Bo Shin-Kata 1,Rising Elbow|Driving Elbow|Upward Elbow|Downward Elbow|Forward Elbow,X Low|X High|Cross Palm|Ridgehand,Inside Crescent|Outside Crescent|Jump Front|Sliding Side,X-Stance,2,1 mile,30,Combinations,,,,2 hours
Green,Cho-Sang|Advanced 1,Falling Star|Center Punch,Bo Shin-Kata 2,Upset Finger Strike|Twin Fist|Backfist|Sliding Punch|Rising Hammer,Chicken Head|Snapping Palm,Ax|Jump Spin|Half Turn|Hook Sweep|Scissor Sweep,Crane,3,1.5 mile,40,Speed,2 months,1,,3.5 hours
Blue,Ro-Hai 1|Advanced 2,X-Ceeding|Dance of Darkness,Bo Flow,Vertical Punch|U-Punch|Chicken Head|Chicken Bite,Scissor Block|Double Block,Turning Ax|Flying Side|Heel Rake|Turning Heel Rake|Turning Round,Dragon,4,2 miles,50,Endurance,2 months,1,,3.5 hours
Purple,Ro-Hai 2|Advanced 3,Second Flow,Kali Shin-Kata 3,Spear Hand|Monkey Paw|Inside Eye Rake|Outside Eye Rake,Turtle Block|Full Body Block,Inverted Crescent|Drop Back|Half Turning Heel Rake|Step-Up Heel Rake|Jump Turning|Inside Crescent,,5,2.5 miles,60,Breakfalls,2 months,2,,3.5 hours
Red,Tekki-Shodan|Advanced 4,Rock 'em Sock 'em|Clinch Flip,Kali Flow,Hook|Uppercut|Jab|Cross,,Jump Turning Round|Full Turn|Rear Leg Jump Round|Jump Side|Jump Turning Outside Crescent,,6,3 miles,70,Takedowns,3 months,2,Application|Black Belt Club|15 hours teaching|12 years old,4.5 hours
Brown,Bassai|Koryo,Freehand Flow,Bo Shin-Kata 3,,,Dragon Tail Sweep|Full Turning Heel Rake|Drop Back Heel Rake|Empty Round,,8,3.5 miles,80,Multiple Opponents,3 months,3,Application|20 hours teaching|13 years old,4.5 hours
Gray,Chung-Moo,Weapon Flow,,,,,,10,4 miles,90,Momentum,6 months,4,Application|30 hours teaching|13 years old,4.5 hours
1st Dan Black,Kan Ku Dai|Advanced 5,Third Flow,Creative Kobudo,,,,,12,5 miles,100,Kobiyashi Maru,9 months,5,Application|50 hours teaching|14 years old|1 Basic Patch,7-8 hours